Product,Price,Rating,Location,Sales
Laptop Lenovo Thinkpad X260 Core i5 Gen 6 Second Bergaransi Like New,Rp2.050.000,4.9,Jakarta Pusat,Terjual 250+
"LAPTOP HP 240 G8 Intel Core i3-1115G4 8GB 1TB HDD 14""HD W10",Rp 6.333.000,5.0,,Terjual 19
"HP Omen 16-C0092AX Ryzen 7 5800H 16GB DDR4 512GB SSD 16,1"" W11+OHS2021 - Black",Rp 22.000.000,,,
HP Pavillion Gaming 15-ec2047AX Ryzen 5 5600H 16GB 512GB GTX1650 W10,Rp 11.908.000,5.0,,Terjual 4
"ASUS VIVOBOOK S 14X OLED S5402ZA i7 12700H 16GB 512SSD W11 14.5"" 120Hz",Rp11.599.000,,Jakarta Utara,Terjual 1
ASUS A416JAO VIPS321 I3 1005G1 4GB 256SSD W11+OHS 14.0FHD IPS BLIT,Rp5.700.000,5.0,Jakarta Utara,Terjual 250+
Dell Latitude E7270 | Dell 7280 | Dell 7290 Core i5 / Core i7 | Sale,Rp2.400.000,5.0,Jakarta Pusat,Terjual 50+
"asus Vivobook 15 X1502ZA i7 1255 8GB 512ssd IRISXE W11 15.6"" fhd IPS",Rp10.599.000,5.0,Jakarta Utara,Terjual 4
"Laptop HP Laptop 14s-dq3111TU-N4500/DDR4/8GB/SSD512GB/14""/Intel UHD",Rp4.999.000,5.0,Surabaya,Terjual 4
Lenovo thinkpad X240 core i5 vpro 4300|SSD 128GB|MURAH MERIAH MULUS,Rp1.950.000,4.8,Jakarta Pusat,Terjual 250+
"Laptop ASUS Vivobook M415DAO Ryzen 3 3250 8GB 512GB SSD 14"" FHD",Rp5.179.000,5.0,Jakarta Pusat,Terjual 500+
Samsung Chromebook 4 4/32GB 11.6in Garansi Resmi,Rp1.835.000,4.9,Jakarta Pusat,Terjual 1 rb+
Lenovo Thinkpad X240 X250 X260 X270 ORIGINAL / BERGARANSI /MURAH,Rp1.950.000,5.0,Bandung,Terjual 250+
ACER ASPIRE 5 SLIM A514 MX350 2GB/I3 1115G4 8GB 512SSD W11+OHS 14.0,Rp6.665.000,5.0,Jakarta Utara,Terjual 250+
DELL VOSTRO V3510-I31115G4-8-256-U-W11-F-O - W11-4GB-1T,Rp 5.999.000,4.7,,Terjual 40+
DELL VOSTRO V3405-R53500U-8-512-W11-OHS-FHD-UMA,Rp 9.599.000,,,Terjual 3
DELL VOSTRO V3405-R33250-4-1T-U-W11-OHS,Rp 5.999.000,5.0,,Terjual 2
HP 14S-FQ0593AU - R3-3250U/8GB/512GB/UMA/14/W11+OHS21/SILVER,Rp5.949.000,5.0,Tangerang Selatan,Terjual 6
Laptop HP Probook 430 G5 Core i7 Gen 8 - 8GB - SSD - Win 10 Original,Rp4.099.000,,Jakarta Barat,
